# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	8	27	0	E	4.1053027e-02	1.3487518e+02	1.7154616e+02	-1.0000006e-02
0	0	8	27	1	T	3.9861731e-02	1.2984805e+02	1.8209911e+02	-1.0000001e-02
0	0	8	27	1	E	3.5193652e-02	1.3549289e+02	1.7175803e+02	-1.0000134e-02
0	0	8	27	2	T	4.7323279e-02	1.3113425e+02	1.8219559e+02	-1.0000079e-02
0	0	8	27	2	E	6.2300891e-02	1.3957938e+02	1.7112274e+02	-1.0000741e-02
0	0	8	27	3	T	4.7922187e-02	1.3174931e+02	1.8128412e+02	-1.0000061e-02
0	0	8	27	3	E	6.1881274e-02	1.4113850e+02	1.7129625e+02	-1.0000001e-02
0	0	8	28	0	T	6.8971686e-02	1.4398561e+02	1.7028534e+02	-1.0000001e-02
0	0	8	28	0	E	6.1331958e-02	1.3036485e+02	1.6625684e+02	-1.0000001e-02
0	0	8	28	1	T	4.2251639e-02	1.2587392e+02	1.6942822e+02	-1.0000015e-02
0	0	8	28	1	E	5.9325427e-02	1.3023431e+02	1.6560973e+02	-1.0000011e-02
0	0	8	28	2	T	6.8723731e-02	1.3267561e+02	1.6981454e+02	-1.0000024e-02
0	0	8	28	2	E	6.1827868e-02	1.3016258e+02	1.6613629e+02	-1.0000041e-02
0	0	8	28	3	T	6.6371970e-02	1.3107738e+02	1.6932079e+02	-1.0000004e-02
0	0	8	28	3	E	6.1255664e-02	1.2928897e+02	1.6535934e+02	-1.0000001e-02
0	0	8	29	0	T	4.2617850e-02	1.3265195e+02	1.6237000e+02	-1.0000008e-02
0	0	8	29	0	E	6.2606066e-02	1.4128780e+02	1.8245190e+02	-1.0000086e-02
0	0	8	29	1	T	6.9126181e-02	1.2561794e+02	1.6154578e+02	-1.0000004e-02
0	0	8	29	1	E	3.7497729e-02	1.3890825e+02	1.8155379e+02	-1.0000001e-02
0	0	8	29	2	T	4.3186240e-02	1.2283112e+02	1.6146126e+02	-9.9999998e-03
0	0	8	29	2	E	6.2407702e-02	1.4337671e+02	1.8099443e+02	-1.0000025e-02
0	0	8	29	3	T	6.9152884e-02	1.2412650e+02	1.6218616e+02	-1.0000008e-02
0	0	8	29	3	E	5.7479113e-02	1.4338060e+02	1.8124475e+02	-1.0000004e-02
0	0	8	30	0	T	6.6116385e-02	1.4027388e+02	1.6923497e+02	-1.0000615e-02
0	0	8	30	0	E	6.2300891e-02	1.2191754e+02	1.5195824e+02	-1.0000287e-02
0	0	8	30	1	T	6.8924002e-02	1.2753726e+02	1.6974710e+02	-1.0000007e-02
0	0	8	30	1	E	6.1217517e-02	1.2297865e+02	1.5138147e+02	-1.0000017e-02
0	0	8	30	2	T	6.8494849e-02	1.2797275e+02	1.6835800e+02	-1.0000001e-02
0	0	8	30	2	E	6.0042590e-02	1.2003117e+02	1.5147409e+02	-1.0000352e-02
0	0	8	30	3	T	5.6665473e-02	1.2618890e+02	1.6945108e+02	-1.0000002e-02
0	0	8	30	3	E	6.1278552e-02	1.2136768e+02	1.5261896e+02	-1.0000018e-02
0	0	8	31	0	T	6.8286948e-02	1.4869701e+02	1.7355862e+02	-1.0000001e-02
0	0	8	31	0	E	3.7970752e-02	1.3010585e+02	1.6973746e+02	-1.0000011e-02
0	0	8	31	1	T	6.7951255e-02	1.3207774e+02	1.7305463e+02	-1.0000001e-02
0	0	8	31	1	E	6.2339038e-02	1.3191074e+02	1.7103070e+02	-3.3573312e-01
0	0	8	31	2	T	4.5522742e-02	1.2865506e+02	1.7330089e+02	-1.0000012e-02
0	0	8	31	2	E	6.2216967e-02	1.3425879e+02	1.6925258e+02	-1.0000021e-02
0	0	8	31	3	T	6.8275504e-02	1.3480994e+02	1.7300465e+02	-9.9999998e-03
0	0	8	31	3	E	6.2453479e-02	1.3227510e+02	1.6969183e+02	-1.0000001e-02
0	0	8	32	0	T	6.8779044e-02	1.4631377e+02	1.7463515e+02	-9.9999998e-03
0	0	8	32	0	E	4.2021960e-02	1.4544179e+02	1.8010141e+02	-9.9999998e-03
0	0	8	32	1	T	6.7384772e-02	1.3278331e+02	1.7387578e+02	-9.9999998e-03
0	0	8	32	1	E	6.2575549e-02	1.4701453e+02	1.7888039e+02	-1.0000011e-02
0	0	8	32	2	T	6.3146643e-02	1.3178078e+02	1.7327879e+02	-1.0000009e-02
0	0	8	32	2	E	3.9733142e-02	1.4711674e+02	1.7817609e+02	-1.0000288e-02
0	0	8	32	3	T	6.5126471e-02	1.3186600e+02	1.7510121e+02	-1.0000012e-02
0	0	8	32	3	E	6.2201709e-02	1.4864441e+02	1.7855521e+02	-1.0000011e-02
0	0	8	33	0	T	6.8496756e-02	1.5426648e+02	1.7771312e+02	-1.0000005e-02
0	0	8	33	0	E	6.0073107e-02	1.4236195e+02	1.6975185e+02	-1.0000009e-02
0	0	8	33	1	T	6.7964606e-02	1.3990649e+02	1.7696590e+02	-1.0000169e-02
0	0	8	33	1	E	3.8809985e-02	1.3598604e+02	1.7057140e+02	-1.0000012e-02
0	0	8	33	2	T	5.5072837e-02	1.3658388e+02	1.7621646e+02	-1.0000050e-02
0	0	8	33	2	E	4.0366381e-02	1.3347206e+02	1.7000388e+02	-1.0000095e-02
0	0	8	33	3	T	5.1029257e-02	1.3461357e+02	1.7706894e+02	-1.0000035e-02
0	0	8	33	3	E	4.0404528e-02	1.3599446e+02	1.6940201e+02	-1.0000808e-02
0	0	8	34	0	T	-7.9046197e-02	1.4484906e+02	1.6785635e+02	-1.0000020e-02
0	0	8	34	0	E	-4.3854505e-02	1.3430249e+02	1.7158817e+02	-1.0000017e-02
0	0	8	34	1	T	-8.9376397e-02	1.3121120e+02	1.6780939e+02	-9.9999998e-03
0	0	8	34	1	E	-5.2155286e-02	1.3279097e+02	1.7087833e+02	-1.0000026e-02
0	0	8	34	2	T	-8.8941522e-02	1.2802216e+02	1.6762724e+02	-1.0000020e-02
0	0	8	34	2	E	-4.0886670e-02	1.3222189e+02	1.7128923e+02	-1.0000001e-02
0	0	8	34	3	T	-8.9372583e-02	1.2898962e+02	1.6844757e+02	-9.9999998e-03
0	0	8	34	3	E	-4.0619642e-02	1.3599635e+02	1.7131342e+02	-1.0000004e-02
0	0	8	35	0	T	-5.2724786e-02	1.5055148e+02	1.7066095e+02	-1.0000001e-02
